relative_path,Full Path,Corrected,absolute_path,data_type,Species 1,Species 2,Species 3,Species 1 Count,Species 2 Count,Species 3 Count,Species 1 Distance,Species 2 Distance,Species 3 Distance,Species 1 Activity,Species 2 Activity,Species 3 Activity,Weather,Water Conditions,Water Notes,Temp [C],Notes,DateTime
Willanch TG\1-21-22 to 2-2-22\01230055.JPG,C:\Tidegate Project Images\Willanch TG\1-21-22 to 2-2-22\01230055.JPG,C:\Tidegate Project Images\,C:/Tidegate Project Images,img,,,,,,,,,,,,,,,,,,1/23/2022 10:45
Willanch TG\1-21-22 to 2-2-22\01230056.JPG,C:\Tidegate Project Images\Willanch TG\1-21-22 to 2-2-22\01230056.JPG,C:\Tidegate Project Images\,C:/Tidegate Project Images,img,,,,,,,,,,,,,,,,,,1/23/2022 11:00
Willanch TG\1-21-22 to 2-2-22\01230057.JPG,C:\Tidegate Project Images\Willanch TG\1-21-22 to 2-2-22\01230057.JPG,C:\Tidegate Project Images\,C:/Tidegate Project Images,img,,,,,,,,,,,,,,,,,,1/23/2022 11:15
Willanch TG\1-21-22 to 2-2-22\01230058.JPG,C:\Tidegate Project Images\Willanch TG\1-21-22 to 2-2-22\01230058.JPG,C:\Tidegate Project Images\,C:/Tidegate Project Images,img,,,,,,,,,,,,,,,,,,1/23/2022 11:30
Willanch TG\1-21-22 to 2-2-22\01230059.JPG,C:\Tidegate Project Images\Willanch TG\1-21-22 to 2-2-22\01230059.JPG,C:\Tidegate Project Images\,C:/Tidegate Project Images,img,,,,,,,,,,,,,,,,,,1/23/2022 11:45
Willanch TG\1-21-22 to 2-2-22\01230060.JPG,C:\Tidegate Project Images\Willanch TG\1-21-22 to 2-2-22\01230060.JPG,C:\Tidegate Project Images\,C:/Tidegate Project Images,img,,,,,,,,,,,,,,,,,,1/23/2022 12:00
Willanch TG\1-21-22 to 2-2-22\01230061.JPG,C:\Tidegate Project Images\Willanch TG\1-21-22 to 2-2-22\01230061.JPG,C:\Tidegate Project Images\,C:/Tidegate Project Images,img,,,,,,,,,,,,,,,,,,1/23/2022 12:15
Willanch TG\1-21-22 to 2-2-22\01230062.JPG,C:\Tidegate Project Images\Willanch TG\1-21-22 to 2-2-22\01230062.JPG,C:\Tidegate Project Images\,C:/Tidegate Project Images,img,,,,,,,,,,,,,,,,,,1/23/2022 12:30
Willanch TG\1-21-22 to 2-2-22\01230063.JPG,C:\Tidegate Project Images\Willanch TG\1-21-22 to 2-2-22\01230063.JPG,C:\Tidegate Project Images\,C:/Tidegate Project Images,img,,,,,,,,,,,,,,,,,,1/23/2022 12:45
Willanch TG\1-21-22 to 2-2-22\01230064.JPG,C:\Tidegate Project Images\Willanch TG\1-21-22 to 2-2-22\01230064.JPG,C:\Tidegate Project Images\,C:/Tidegate Project Images,img,,,,,,,,,,,,,,,,,,1/23/2022 13:00
Willanch TG\1-21-22 to 2-2-22\01230065.JPG,C:\Tidegate Project Images\Willanch TG\1-21-22 to 2-2-22\01230065.JPG,C:\Tidegate Project Images\,C:/Tidegate Project Images,img,,,,,,,,,,,,,,,,,,1/23/2022 13:15
Willanch TG\1-21-22 to 2-2-22\01230066.JPG,C:\Tidegate Project Images\Willanch TG\1-21-22 to 2-2-22\01230066.JPG,C:\Tidegate Project Images\,C:/Tidegate Project Images,img,,,,,,,,,,,,,,,,,,1/23/2022 13:30
Willanch TG\1-21-22 to 2-2-22\01230067.JPG,C:\Tidegate Project Images\Willanch TG\1-21-22 to 2-2-22\01230067.JPG,C:\Tidegate Project Images\,C:/Tidegate Project Images,img,,,,,,,,,,,,,,,,,,1/23/2022 13:45
Willanch TG\1-21-22 to 2-2-22\01230068.JPG,C:\Tidegate Project Images\Willanch TG\1-21-22 to 2-2-22\01230068.JPG,C:\Tidegate Project Images\,C:/Tidegate Project Images,img,,,,,,,,,,,,,,,,,,1/23/2022 14:00
Willanch TG\1-21-22 to 2-2-22\01230069.JPG,C:\Tidegate Project Images\Willanch TG\1-21-22 to 2-2-22\01230069.JPG,C:\Tidegate Project Images\,C:/Tidegate Project Images,img,,,,,,,,,,,,,,,,,,1/23/2022 14:15
Willanch TG\1-21-22 to 2-2-22\01230070.JPG,C:\Tidegate Project Images\Willanch TG\1-21-22 to 2-2-22\01230070.JPG,C:\Tidegate Project Images\,C:/Tidegate Project Images,img,,,,,,,,,,,,,,,,,,1/23/2022 14:30
Willanch TG\1-21-22 to 2-2-22\01230071.JPG,C:\Tidegate Project Images\Willanch TG\1-21-22 to 2-2-22\01230071.JPG,C:\Tidegate Project Images\,C:/Tidegate Project Images,img,,,,,,,,,,,,,,,,,,1/23/2022 14:45
Willanch TG\1-21-22 to 2-2-22\01230072.JPG,C:\Tidegate Project Images\Willanch TG\1-21-22 to 2-2-22\01230072.JPG,C:\Tidegate Project Images\,C:/Tidegate Project Images,img,,,,,,,,,,,,,,,,,,1/23/2022 15:00
Willanch TG\1-21-22 to 2-2-22\01230073.JPG,C:\Tidegate Project Images\Willanch TG\1-21-22 to 2-2-22\01230073.JPG,C:\Tidegate Project Images\,C:/Tidegate Project Images,img,,,,,,,,,,,,,,,,,,1/23/2022 15:15
Willanch TG\1-21-22 to 2-2-22\01230074.JPG,C:\Tidegate Project Images\Willanch TG\1-21-22 to 2-2-22\01230074.JPG,C:\Tidegate Project Images\,C:/Tidegate Project Images,img,,,,,,,,,,,,,,,,,,1/23/2022 15:30
Willanch TG\1-21-22 to 2-2-22\01230075.JPG,C:\Tidegate Project Images\Willanch TG\1-21-22 to 2-2-22\01230075.JPG,C:\Tidegate Project Images\,C:/Tidegate Project Images,img,,,,,,,,,,,,,,,,,,1/23/2022 15:45
Willanch TG\1-21-22 to 2-2-22\01230076.JPG,C:\Tidegate Project Images\Willanch TG\1-21-22 to 2-2-22\01230076.JPG,C:\Tidegate Project Images\,C:/Tidegate Project Images,img,,,,,,,,,,,,,,,,,,1/23/2022 16:00
Willanch TG\1-21-22 to 2-2-22\01230077.JPG,C:\Tidegate Project Images\Willanch TG\1-21-22 to 2-2-22\01230077.JPG,C:\Tidegate Project Images\,C:/Tidegate Project Images,img,,,,,,,,,,,,,,,,,,1/23/2022 16:15
Willanch TG\1-21-22 to 2-2-22\01230078.JPG,C:\Tidegate Project Images\Willanch TG\1-21-22 to 2-2-22\01230078.JPG,C:\Tidegate Project Images\,C:/Tidegate Project Images,img,,,,,,,,,,,,,,,,,,1/23/2022 16:30
Willanch TG\1-21-22 to 2-2-22\01230079.JPG,C:\Tidegate Project Images\Willanch TG\1-21-22 to 2-2-22\01230079.JPG,C:\Tidegate Project Images\,C:/Tidegate Project Images,img,,,,,,,,,,,,,,,,,,1/23/2022 16:45
Willanch TG\1-21-22 to 2-2-22\01230080.JPG,C:\Tidegate Project Images\Willanch TG\1-21-22 to 2-2-22\01230080.JPG,C:\Tidegate Project Images\,C:/Tidegate Project Images,img,,,,,,,,,,,,,,,,,,1/23/2022 17:00
Willanch TG\1-21-22 to 2-2-22\01240081.JPG,C:\Tidegate Project Images\Willanch TG\1-21-22 to 2-2-22\01240081.JPG,C:\Tidegate Project Images\,C:/Tidegate Project Images,img,,,,,,,,,,,,,,,,,,1/24/2022 7:30
Willanch TG\1-21-22 to 2-2-22\01240082.JPG,C:\Tidegate Project Images\Willanch TG\1-21-22 to 2-2-22\01240082.JPG,C:\Tidegate Project Images\,C:/Tidegate Project Images,img,,,,,,,,,,,,,,,,,,1/24/2022 7:45
Willanch TG\1-21-22 to 2-2-22\01240083.JPG,C:\Tidegate Project Images\Willanch TG\1-21-22 to 2-2-22\01240083.JPG,C:\Tidegate Project Images\,C:/Tidegate Project Images,img,,,,,,,,,,,,,,,,,,1/24/2022 8:00
Willanch TG\1-21-22 to 2-2-22\01240084.JPG,C:\Tidegate Project Images\Willanch TG\1-21-22 to 2-2-22\01240084.JPG,C:\Tidegate Project Images\,C:/Tidegate Project Images,img,,,,,,,,,,,,,,,,,,1/24/2022 8:15
Willanch TG\1-21-22 to 2-2-22\01240085.JPG,C:\Tidegate Project Images\Willanch TG\1-21-22 to 2-2-22\01240085.JPG,C:\Tidegate Project Images\,C:/Tidegate Project Images,img,,,,,,,,,,,,,,,,,,1/24/2022 8:30
Willanch TG\1-21-22 to 2-2-22\01240086.JPG,C:\Tidegate Project Images\Willanch TG\1-21-22 to 2-2-22\01240086.JPG,C:\Tidegate Project Images\,C:/Tidegate Project Images,img,,,,,,,,,,,,,,,,,,1/24/2022 8:45
Willanch TG\1-21-22 to 2-2-22\01240087.JPG,C:\Tidegate Project Images\Willanch TG\1-21-22 to 2-2-22\01240087.JPG,C:\Tidegate Project Images\,C:/Tidegate Project Images,img,,,,,,,,,,,,,,,,,,1/24/2022 9:00
Willanch TG\1-21-22 to 2-2-22\01240088.JPG,C:\Tidegate Project Images\Willanch TG\1-21-22 to 2-2-22\01240088.JPG,C:\Tidegate Project Images\,C:/Tidegate Project Images,img,,,,,,,,,,,,,,,,,,1/24/2022 9:15
Willanch TG\1-21-22 to 2-2-22\01240089.JPG,C:\Tidegate Project Images\Willanch TG\1-21-22 to 2-2-22\01240089.JPG,C:\Tidegate Project Images\,C:/Tidegate Project Images,img,,,,,,,,,,,,,,,,,,1/24/2022 9:30
Willanch TG\1-21-22 to 2-2-22\01240090.JPG,C:\Tidegate Project Images\Willanch TG\1-21-22 to 2-2-22\01240090.JPG,C:\Tidegate Project Images\,C:/Tidegate Project Images,img,,,,,,,,,,,,,,,,,,1/24/2022 9:45
Willanch TG\1-21-22 to 2-2-22\01240091.JPG,C:\Tidegate Project Images\Willanch TG\1-21-22 to 2-2-22\01240091.JPG,C:\Tidegate Project Images\,C:/Tidegate Project Images,img,,,,,,,,,,,,,,,,,,1/24/2022 10:00
Willanch TG\1-21-22 to 2-2-22\01240092.JPG,C:\Tidegate Project Images\Willanch TG\1-21-22 to 2-2-22\01240092.JPG,C:\Tidegate Project Images\,C:/Tidegate Project Images,img,,,,,,,,,,,,,,,,,,1/24/2022 10:15
Willanch TG\1-21-22 to 2-2-22\01240093.JPG,C:\Tidegate Project Images\Willanch TG\1-21-22 to 2-2-22\01240093.JPG,C:\Tidegate Project Images\,C:/Tidegate Project Images,img,,,,,,,,,,,,,,,,,,1/24/2022 10:30
Willanch TG\1-21-22 to 2-2-22\01240094.JPG,C:\Tidegate Project Images\Willanch TG\1-21-22 to 2-2-22\01240094.JPG,C:\Tidegate Project Images\,C:/Tidegate Project Images,img,,,,,,,,,,,,,,,,,,1/24/2022 10:45
Willanch TG\1-21-22 to 2-2-22\01240095.JPG,C:\Tidegate Project Images\Willanch TG\1-21-22 to 2-2-22\01240095.JPG,C:\Tidegate Project Images\,C:/Tidegate Project Images,img,,,,,,,,,,,,,,,,,,1/24/2022 11:00
Willanch TG\1-21-22 to 2-2-22\01240096.JPG,C:\Tidegate Project Images\Willanch TG\1-21-22 to 2-2-22\01240096.JPG,C:\Tidegate Project Images\,C:/Tidegate Project Images,img,,,,,,,,,,,,,,,,,,1/24/2022 11:15
Willanch TG\1-21-22 to 2-2-22\01240097.JPG,C:\Tidegate Project Images\Willanch TG\1-21-22 to 2-2-22\01240097.JPG,C:\Tidegate Project Images\,C:/Tidegate Project Images,img,,,,,,,,,,,,,,,,,,1/24/2022 11:30
Willanch TG\1-21-22 to 2-2-22\01240098.JPG,C:\Tidegate Project Images\Willanch TG\1-21-22 to 2-2-22\01240098.JPG,C:\Tidegate Project Images\,C:/Tidegate Project Images,img,,,,,,,,,,,,,,,,,,1/24/2022 11:45
Willanch TG\1-21-22 to 2-2-22\01240099.JPG,C:\Tidegate Project Images\Willanch TG\1-21-22 to 2-2-22\01240099.JPG,C:\Tidegate Project Images\,C:/Tidegate Project Images,img,Mergus merganser,,,1,,,Near,,,Swimming,,,Sunny,Calm,,4,,1/24/2022 12:00
Willanch TG\1-21-22 to 2-2-22\01240100.JPG,C:\Tidegate Project Images\Willanch TG\1-21-22 to 2-2-22\01240100.JPG,C:\Tidegate Project Images\,C:/Tidegate Project Images,img,,,,,,,,,,,,,,,,,,1/24/2022 12:15
Willanch TG\1-21-22 to 2-2-22\01240101.JPG,C:\Tidegate Project Images\Willanch TG\1-21-22 to 2-2-22\01240101.JPG,C:\Tidegate Project Images\,C:/Tidegate Project Images,img,,,,,,,,,,,,,,,,,,1/24/2022 12:30
Willanch TG\1-21-22 to 2-2-22\01240102.JPG,C:\Tidegate Project Images\Willanch TG\1-21-22 to 2-2-22\01240102.JPG,C:\Tidegate Project Images\,C:/Tidegate Project Images,img,,,,,,,,,,,,,,,,,,1/24/2022 12:45
Willanch TG\1-21-22 to 2-2-22\01240103.JPG,C:\Tidegate Project Images\Willanch TG\1-21-22 to 2-2-22\01240103.JPG,C:\Tidegate Project Images\,C:/Tidegate Project Images,img,,,,,,,,,,,,,,,,,,1/24/2022 13:00
Willanch TG\1-21-22 to 2-2-22\01240104.JPG,C:\Tidegate Project Images\Willanch TG\1-21-22 to 2-2-22\01240104.JPG,C:\Tidegate Project Images\,C:/Tidegate Project Images,img,,,,,,,,,,,,,,,,,,1/24/2022 13:15
Willanch TG\1-21-22 to 2-2-22\01240105.JPG,C:\Tidegate Project Images\Willanch TG\1-21-22 to 2-2-22\01240105.JPG,C:\Tidegate Project Images\,C:/Tidegate Project Images,img,,,,,,,,,,,,,,,,,,1/24/2022 13:30
Willanch TG\1-21-22 to 2-2-22\01240106.JPG,C:\Tidegate Project Images\Willanch TG\1-21-22 to 2-2-22\01240106.JPG,C:\Tidegate Project Images\,C:/Tidegate Project Images,img,,,,,,,,,,,,,,,,,,1/24/2022 13:45
